InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,return_flag,order_value,Month,Weekday,Hour,risk_score
C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,2010-12-02 17:19:00,3.75,14625.0,United Kingdom,1,-3.75,12,Thursday,17,0.9999999997826794
C536825,22617,BAKING SET SPACEBOY DESIGN,-1,2010-12-02 17:27:00,4.95,15384.0,United Kingdom,1,-4.95,12,Thursday,17,0.999999999999756
C536825,22197,SMALL POPCORN HOLDER,-2,2010-12-02 17:27:00,0.85,15384.0,United Kingdom,1,-1.7,12,Thursday,17,0.9999987253832314
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2010-12-02 17:30:00,4.65,17924.0,United Kingdom,1,-9.3,12,Thursday,17,1.0
C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,2010-12-02 17:30:00,4.65,17924.0,United Kingdom,1,-13.95,12,Thursday,17,1.0
C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,2010-12-02 17:31:00,6.95,13408.0,United Kingdom,1,-20.85,12,Thursday,17,1.0
C536828,22832,BROCANTE SHELF WITH HOOKS,-1,2010-12-02 17:35:00,10.75,14264.0,United Kingdom,1,-10.75,12,Thursday,17,1.0
C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,2010-12-02 17:35:00,1.25,14264.0,United Kingdom,1,-3.75,12,Thursday,17,0.9999999999972651
C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-02 17:36:00,3.25,13295.0,United Kingdom,1,-3.25,12,Thursday,17,0.9999999963178792
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,2010-12-03 09:47:00,7.65,14213.0,United Kingdom,1,-367.2000000000001,12,Friday,9,1.0
C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,2010-12-03 09:47:00,6.75,14213.0,United Kingdom,1,-337.5,12,Friday,9,1.0
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2010-12-03 09:47:00,2.55,14213.0,United Kingdom,1,-127.5,12,Friday,9,1.0
C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2010-12-03 09:47:00,4.95,14213.0,United Kingdom,1,-237.6,12,Friday,9,1.0
C536850,22186,RED STAR CARD HOLDER,-48,2010-12-03 09:47:00,2.55,14213.0,United Kingdom,1,-122.4,12,Friday,9,1.0
C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2010-12-03 10:07:00,2.55,14679.0,United Kingdom,1,-2.55,12,Friday,10,0.9999999378940577
C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2010-12-03 10:09:00,2.95,15240.0,United Kingdom,1,-2.95,12,Friday,10,0.9999999935444177
C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,2010-12-03 10:09:00,1.25,15240.0,United Kingdom,1,-1.25,12,Friday,10,0.9999026169013228
C536854,21871,SAVE THE PLANET MUG,-1,2010-12-03 10:09:00,1.25,15240.0,United Kingdom,1,-1.25,12,Friday,10,0.9999026169013228
C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,2010-12-03 10:11:00,7.95,18225.0,United Kingdom,1,-31.8,12,Friday,10,1.0
C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,2010-12-03 14:19:00,9.95,17954.0,United Kingdom,1,-9.95,12,Friday,14,1.0
C536979,84685,BEACH HUT KEY CABINET,-1,2010-12-03 14:23:00,3.75,17841.0,United Kingdom,1,-3.75,12,Friday,14,0.9999999998664713
C536979,22630,DOLLY GIRL LUNCH BOX,-1,2010-12-03 14:23:00,1.95,17841.0,United Kingdom,1,-1.95,12,Friday,14,0.9999964521676915
C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2010-12-03 16:21:00,2.1,13941.0,United Kingdom,1,-75.60000000000001,12,Friday,16,1.0
C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,2010-12-05 10:25:00,4.95,15708.0,United Kingdom,1,-4.95,12,Sunday,10,0.9999999999999216
C537039,20936,FORKED CACTUS CANDLE,-1,2010-12-05 10:25:00,2.95,15708.0,United Kingdom,1,-2.95,12,Sunday,10,0.9999999935444177
C537039,85175,CACTI T-LIGHT CANDLES,-1,2010-12-05 10:25:00,0.42,15708.0,United Kingdom,1,-0.42,12,Sunday,10,0.9894306908237424
C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,2010-12-05 10:48:00,1.95,15351.0,United Kingdom,1,-11.7,12,Sunday,10,1.0
C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,2010-12-05 10:48:00,1.69,15351.0,United Kingdom,1,-1.69,12,Sunday,10,0.9999919275595704
C537132,22788,BROCANTE COAT RACK,-2,2010-12-05 12:29:00,8.5,15221.0,United Kingdom,1,-17.0,12,Sunday,12,1.0
C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,2010-12-05 12:29:00,8.5,15221.0,United Kingdom,1,-8.5,12,Sunday,12,1.0
C537132,71279,PINK GLASS CANDLEHOLDER,-2,2010-12-05 12:29:00,2.95,15221.0,United Kingdom,1,-5.9,12,Sunday,12,0.9999999999999987
C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,2010-12-05 12:29:00,21.95,15221.0,United Kingdom,1,-43.9,12,Sunday,12,1.0
C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,2010-12-05 12:29:00,21.95,15221.0,United Kingdom,1,-175.6,12,Sunday,12,1.0
C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,2010-12-05 12:29:00,12.75,15221.0,United Kingdom,1,-38.25,12,Sunday,12,1.0
C537143,20685,DOORMAT RED RETROSPOT,-1,2010-12-05 12:58:00,7.95,12748.0,United Kingdom,1,-7.95,12,Sunday,12,1.0
C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,2010-12-05 13:09:00,1.25,15880.0,United Kingdom,1,-30.0,12,Sunday,13,1.0
C537164,D,Discount,-1,2010-12-05 13:21:00,29.29,14527.0,United Kingdom,1,-29.29,12,Sunday,13,1.0
C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,2010-12-05 14:44:00,9.95,14606.0,United Kingdom,1,-9.95,12,Sunday,14,1.0
C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,2010-12-05 14:44:00,2.95,14606.0,United Kingdom,1,-2.95,12,Sunday,14,0.9999999876413727
C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,2010-12-06 09:31:00,8.5,12586.0,Italy,1,-17.0,12,Monday,9,1.0
C537234,22653,BUTTON BOX ,-20,2010-12-06 09:40:00,1.95,16161.0,United Kingdom,1,-39.0,12,Monday,9,1.0
C537314,21349,IVY HEART WREATH,-4,2010-12-06 11:42:00,6.75,13497.0,United Kingdom,1,-27.0,12,Monday,11,1.0
C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,2010-12-06 11:47:00,8.95,14867.0,United Kingdom,1,-8.95,12,Monday,11,1.0
C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,2010-12-06 12:00:00,8.5,12474.0,Germany,1,-34.0,12,Monday,12,1.0
C537373,22423,REGENCY CAKESTAND 3 TIER,-1,2010-12-06 12:55:00,12.75,14487.0,United Kingdom,1,-12.75,12,Monday,12,1.0
C537379,22865,HAND WARMER OWL DESIGN,-10,2010-12-06 13:12:00,2.1,15882.0,United Kingdom,1,-21.0,12,Monday,13,1.0
C537383,21658,GLASS  BEURRE DISH,-1,2010-12-06 13:17:00,3.95,16550.0,United Kingdom,1,-3.95,12,Monday,13,0.9999999999634013
C537383,22197,SMALL POPCORN HOLDER,-1,2010-12-06 13:17:00,0.85,16550.0,United Kingdom,1,-0.85,12,Monday,13,0.9984773924362488
C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2010-12-06 13:17:00,4.25,16550.0,United Kingdom,1,-4.25,12,Monday,13,0.9999999999933
C537398,22430,ENAMEL WATERING CAN CREAM,-1,2010-12-06 14:22:00,4.95,15426.0,United Kingdom,1,-4.95,12,Monday,14,0.9999999999998501
C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-12-06 14:43:00,5.95,15502.0,United Kingdom,1,-23.8,12,Monday,14,1.0
C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-12-06 14:43:00,5.95,15502.0,United Kingdom,1,-23.8,12,Monday,14,1.0
C537402,22849,BREAD BIN DINER STYLE MINT,-4,2010-12-06 14:43:00,14.95,15502.0,United Kingdom,1,-59.8,12,Monday,14,1.0
C537402,22847,BREAD BIN DINER STYLE IVORY,-4,2010-12-06 14:43:00,14.95,15502.0,United Kingdom,1,-59.8,12,Monday,14,1.0
C537402,47580,TEA TIME DES TEA COSY,-6,2010-12-06 14:43:00,2.55,15502.0,United Kingdom,1,-15.3,12,Monday,14,1.0
C537402,22196,SMALL HEART MEASURING SPOONS,-12,2010-12-06 14:43:00,0.85,15502.0,United Kingdom,1,-10.2,12,Monday,14,1.0
C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,2010-12-06 14:53:00,5.95,15502.0,United Kingdom,1,-23.8,12,Monday,14,1.0
C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,2010-12-06 14:53:00,5.95,15502.0,United Kingdom,1,-23.8,12,Monday,14,1.0
C537406,22847,BREAD BIN DINER STYLE IVORY,-4,2010-12-06 14:53:00,14.95,15502.0,United Kingdom,1,-59.8,12,Monday,14,1.0
C537406,22849,BREAD BIN DINER STYLE MINT,-4,2010-12-06 14:53:00,14.95,15502.0,United Kingdom,1,-59.8,12,Monday,14,1.0
C537408,47580,TEA TIME DES TEA COSY,-6,2010-12-06 14:55:00,2.55,15502.0,United Kingdom,1,-15.3,12,Monday,14,1.0
C537408,22196,SMALL HEART MEASURING SPOONS,-12,2010-12-06 14:55:00,0.85,15502.0,United Kingdom,1,-10.2,12,Monday,14,1.0
C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,2010-12-06 15:07:00,2.1,14409.0,United Kingdom,1,-151.20000000000002,12,Monday,15,1.0
C537414,POST,POSTAGE,-1,2010-12-06 15:09:00,4.41,16861.0,United Kingdom,1,-4.41,12,Monday,15,0.9999999999962519
C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,2010-12-06 15:09:00,2.95,16861.0,United Kingdom,1,-17.700000000000003,12,Monday,15,1.0
C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,2010-12-06 15:10:00,7.95,16138.0,United Kingdom,1,-7.95,12,Monday,15,1.0
C537417,22960,JAM MAKING SET WITH JARS,-1,2010-12-06 15:12:00,4.25,13481.0,United Kingdom,1,-4.25,12,Monday,15,0.9999999999907299
C537431,21755,LOVE BUILDING BLOCK WORD,-1,2010-12-06 16:10:00,5.95,16782.0,United Kingdom,1,-5.95,12,Monday,16,0.9999999999999993
C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,2010-12-07 08:42:00,5.95,14850.0,United Kingdom,1,-47.6,12,Tuesday,8,1.0
C537445,22418,10 COLOUR SPACEBOY PEN,-11,2010-12-07 08:57:00,0.85,15021.0,United Kingdom,1,-9.35,12,Tuesday,8,1.0
C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-12-07 11:47:00,7.95,13319.0,United Kingdom,1,-7.95,12,Tuesday,11,1.0
C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,2010-12-07 11:47:00,6.35,13319.0,United Kingdom,1,-12.7,12,Tuesday,11,1.0
C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,2010-12-07 11:47:00,3.75,13319.0,United Kingdom,1,-7.5,12,Tuesday,11,1.0
C537596,22968,ROSE COTTAGE KEEPSAKE BOX ,-2,2010-12-07 12:31:00,9.95,17954.0,United Kingdom,1,-19.9,12,Tuesday,12,1.0
C537597,D,Discount,-1,2010-12-07 12:34:00,281.0,15498.0,United Kingdom,1,-281.0,12,Tuesday,12,1.0
C537602,85099B,JUMBO BAG RED RETROSPOT,-1,2010-12-07 12:45:00,1.65,17511.0,United Kingdom,1,-1.65,12,Tuesday,12,0.9999859931830722
C537602,21622,VINTAGE UNION JACK CUSHION COVER,-1,2010-12-07 12:45:00,4.95,17511.0,United Kingdom,1,-4.95,12,Tuesday,12,0.9999999999998916
C537602,22065,CHRISTMAS PUDDING TRINKET POT ,-1,2010-12-07 12:45:00,1.25,17511.0,United Kingdom,1,-1.25,12,Tuesday,12,0.9998652636523345
C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,2010-12-07 12:45:00,8.5,17511.0,United Kingdom,1,-8.5,12,Tuesday,12,1.0
C537602,22654,DELUXE SEWING KIT ,-1,2010-12-07 12:45:00,4.95,17511.0,United Kingdom,1,-4.95,12,Tuesday,12,0.9999999999998916
C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-07 12:45:00,2.55,17511.0,United Kingdom,1,-2.55,12,Tuesday,12,0.9999999140688646
C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,2010-12-07 12:45:00,2.95,17511.0,United Kingdom,1,-2.95,12,Tuesday,12,0.9999999910679155
C537602,22197,SMALL POPCORN HOLDER,-1,2010-12-07 12:45:00,0.72,17511.0,United Kingdom,1,-0.72,12,Tuesday,12,0.9973015968896455
C537602,22659,LUNCH BOX I LOVE LONDON,-4,2010-12-07 12:45:00,1.65,17511.0,United Kingdom,1,-6.6,12,Tuesday,12,1.0
C537602,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,2010-12-07 12:45:00,7.65,17511.0,United Kingdom,1,-7.65,12,Tuesday,12,1.0
C537602,21843,RED RETROSPOT CAKE STAND,-1,2010-12-07 12:45:00,9.95,17511.0,United Kingdom,1,-9.95,12,Tuesday,12,1.0
C537602,22423,REGENCY CAKESTAND 3 TIER,-2,2010-12-07 12:45:00,10.95,17511.0,United Kingdom,1,-21.9,12,Tuesday,12,1.0
C537602,84050,PINK HEART SHAPE EGG FRYING PAN,-1,2010-12-07 12:45:00,1.25,17511.0,United Kingdom,1,-1.25,12,Tuesday,12,0.9998652636523345
C537602,22198,LARGE POPCORN HOLDER ,-1,2010-12-07 12:45:00,1.45,17511.0,United Kingdom,1,-1.45,12,Tuesday,12,0.9999565564261482
C537611,22865,HAND WARMER OWL DESIGN,-36,2010-12-07 13:25:00,2.1,17675.0,United Kingdom,1,-75.60000000000001,12,Tuesday,13,1.0
C537656,21258,VICTORIAN SEWING BOX LARGE,-12,2010-12-07 16:21:00,10.95,15100.0,United Kingdom,1,-131.39999999999998,12,Tuesday,16,1.0
C537677,21166,COOK WITH WINE METAL SIGN ,-1,2010-12-08 09:55:00,1.95,14796.0,United Kingdom,1,-1.95,12,Wednesday,9,0.9999984244926723
C537684,22301,COFFEE MUG CAT + BIRD DESIGN,-1,2010-12-08 10:18:00,2.55,14901.0,United Kingdom,1,-2.55,12,Wednesday,10,0.9999999378940577
C537684,22730,ALARM CLOCK BAKELIKE IVORY,-1,2010-12-08 10:18:00,3.75,14901.0,United Kingdom,1,-3.75,12,Wednesday,10,0.9999999999302507
C537746,22156,HEART DECORATION WITH PEARLS ,-1,2010-12-08 11:03:00,0.85,15021.0,United Kingdom,1,-0.85,12,Wednesday,11,0.9988990845752128
C537746,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,2010-12-08 11:03:00,2.55,15021.0,United Kingdom,1,-2.55,12,Wednesday,11,0.9999999269463611
C537746,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,2010-12-08 11:03:00,3.25,15021.0,United Kingdom,1,-3.25,12,Wednesday,11,0.9999999986099006
C537756,21914,BLUE HARMONICA IN BOX ,-24,2010-12-08 11:33:00,1.25,14952.0,United Kingdom,1,-30.0,12,Wednesday,11,1.0
C537756,84949,SILVER HANGING T-LIGHT HOLDER,-8,2010-12-08 11:33:00,1.65,14952.0,United Kingdom,1,-13.2,12,Wednesday,11,1.0
C537756,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-4,2010-12-08 11:33:00,14.95,14952.0,United Kingdom,1,-59.8,12,Wednesday,11,1.0
C537763,85068,CREAM SWEETHEART SHELF + HOOKS,-1,2010-12-08 12:03:00,7.95,16713.0,United Kingdom,1,-7.95,12,Wednesday,12,1.0
C537788,90062,CARNIVAL BRACELET,-1,2010-12-08 12:49:00,12.75,15916.0,United Kingdom,1,-12.75,12,Wednesday,12,1.0
C537788,16202E,BLACK PHOTO ALBUM ,-1,2010-12-08 12:49:00,5.55,15916.0,United Kingdom,1,-5.55,12,Wednesday,12,0.9999999999999964
C537797,22501,PICNIC BASKET WICKER LARGE,-1,2010-12-08 13:07:00,8.5,13113.0,United Kingdom,1,-8.5,12,Wednesday,13,1.0
C537797,22423,REGENCY CAKESTAND 3 TIER,-2,2010-12-08 13:07:00,10.95,13113.0,United Kingdom,1,-21.9,12,Wednesday,13,1.0
C537797,22469,HEART OF WICKER SMALL,-1,2010-12-08 13:07:00,1.45,13113.0,United Kingdom,1,-1.45,12,Wednesday,13,0.999948898820813
C537798,22357,KINGS CHOICE BISCUIT TIN,-1,2010-12-08 13:07:00,4.25,16553.0,United Kingdom,1,-4.25,12,Wednesday,13,0.9999999999933
C537805,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-08 13:18:00,4.65,15311.0,United Kingdom,1,-4.65,12,Wednesday,13,0.9999999999993037
C537805,40001,WHITE BAMBOO RIBS LAMPSHADE,-2,2010-12-08 13:18:00,0.64,15311.0,United Kingdom,1,-1.28,12,Wednesday,13,0.9999951311534087
